"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","9.22821849476969e-05","59","3794","37","0.00975224037954665","0.627118644067797","GO:0033045","GO:BP","regulation of sister chromatid segregation","11884","7484","c(""GO:0000819"", ""GO:0033044"", ""GO:0051983"")"
"query_1","TRUE","9.87836674184228e-05","116","3794","62","0.0163415919873484","0.53448275862069","GO:0051168","GO:BP","nuclear export","11884","12660","GO:0006913"
"query_1","TRUE","0.000100753004280269","95","3794","53","0.0139694254085398","0.557894736842105","GO:0050658","GO:BP","RNA transport","11884","12342","c(""GO:0050657"", ""GO:0051236"")"
"query_1","TRUE","0.000100753004280269","95","3794","53","0.0139694254085398","0.557894736842105","GO:0050657","GO:BP","nucleic acid transport","11884","12341","GO:0015931"
"query_1","TRUE","0.00010282592765918","27","3794","21","0.00553505535055351","0.777777777777778","GO:0000462","GO:BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","11884","151","GO:0030490"
"query_1","TRUE","0.000110542004336243","185","3794","90","0.0237216657880865","0.486486486486487","GO:0045787","GO:BP","positive regulation of cell cycle","11884","10847","c(""GO:0007049"", ""GO:0048522"", ""GO:0051726"")"
"query_1","TRUE","0.000111573025184591","1746","3794","643","0.169478123352662","0.368270332187858","GO:0022607","GO:BP","cellular component assembly","11884","6180","c(""GO:0016043"", ""GO:0044085"")"
"query_1","TRUE","0.000111573025184591","93","3794","52","0.0137058513442277","0.559139784946237","GO:0007052","GO:BP","mitotic spindle organization","11884","2518","c(""GO:0007051"", ""GO:1902850"")"
"query_1","TRUE","0.000116835605008626","51","3794","33","0.00869794412229836","0.647058823529412","GO:1905818","GO:BP","regulation of chromosome separation","11884","23104","c(""GO:0051304"", ""GO:0051983"")"
"query_1","TRUE","0.00012117124178119","193","3794","93","0.0245123879810227","0.481865284974093","GO:0034504","GO:BP","protein localization to nucleus","11884","8096","GO:0033365"
"query_1","TRUE","0.000126677286262171","98","3794","54","0.0142329994728519","0.551020408163265","GO:0140013","GO:BP","meiotic nuclear division","11884","18362","c(""GO:0000280"", ""GO:1903046"")"
"query_1","TRUE","0.000134143577502769","45","3794","30","0.00790722192936215","0.666666666666667","GO:0045005","GO:BP","DNA-templated DNA replication maintenance of fidelity","11884","10464","c(""GO:0006259"", ""GO:0006261"")"
"query_1","TRUE","0.000164314706939348","58","3794","36","0.00948866631523458","0.620689655172414","GO:0051304","GO:BP","chromosome separation","11884","12733","c(""GO:0007059"", ""GO:0022402"")"
"query_1","TRUE","0.000187645795238186","99","3794","54","0.0142329994728519","0.545454545454545","GO:0051170","GO:BP","import into nucleus","11884","12662","GO:0006913"
"query_1","TRUE","0.000191847284798513","54","3794","34","0.00896151818661044","0.62962962962963","GO:0042773","GO:BP","ATP synthesis coupled electron transport","11884","9704","c(""GO:0006119"", ""GO:0022904"")"
"query_1","TRUE","0.000191847284798513","135","3794","69","0.0181866104375329","0.511111111111111","GO:0045930","GO:BP","negative regulation of mitotic cell cycle","11884","10946","c(""GO:0000278"", ""GO:0007346"", ""GO:0045786"")"
"query_1","TRUE","0.000210072278569679","90","3794","50","0.0131787032156036","0.555555555555556","GO:0006997","GO:BP","nucleus organization","11884","2479","GO:0006996"
"query_1","TRUE","0.000219870014746107","50","3794","32","0.00843437005798629","0.64","GO:0007091","GO:BP","metaphase/anaphase transition of mitotic cell cycle","11884","2541","c(""GO:0044772"", ""GO:0044784"")"
"query_1","TRUE","0.000219870014746107","3741","3794","1302","0.343173431734317","0.34803528468324","GO:0016043","GO:BP","cellular component organization","11884","4835","GO:0071840"
"query_1","TRUE","0.000234349328345477","48","3794","31","0.00817079599367422","0.645833333333333","GO:0030071","GO:BP","regulation of mitotic metaphase/anaphase transition","11884","6236","c(""GO:0007091"", ""GO:1901990"", ""GO:1902099"")"
"query_1","TRUE","0.000251802298531951","324","3794","142","0.0374275171323142","0.438271604938272","GO:0034655","GO:BP","nucleobase-containing compound catabolic process","11884","8135","c(""GO:0006139"", ""GO:0009056"")"
"query_1","TRUE","0.000260547134012162","44","3794","29","0.00764364786505008","0.659090909090909","GO:0051306","GO:BP","mitotic sister chromatid separation","11884","12735","c(""GO:0000070"", ""GO:0051304"", ""GO:1903047"")"
"query_1","TRUE","0.000263496152689519","86","3794","48","0.0126515550869794","0.558139534883721","GO:0009260","GO:BP","ribonucleotide biosynthetic process","11884","3269","c(""GO:0009165"", ""GO:0009259"", ""GO:0046390"")"
"query_1","TRUE","0.000268991838428988","42","3794","28","0.00738007380073801","0.666666666666667","GO:0010965","GO:BP","regulation of mitotic sister chromatid separation","11884","4327","c(""GO:0051306"", ""GO:1905818"")"
"query_1","TRUE","0.000275891737559048","199","3794","94","0.0247759620453347","0.472361809045226","GO:0006401","GO:BP","RNA catabolic process","11884","2054","c(""GO:0016070"", ""GO:0141188"")"
"query_1","TRUE","0.000282908455883058","34","3794","24","0.00632577754348972","0.705882352941177","GO:0009124","GO:BP","nucleoside monophosphate biosynthetic process","11884","3141","c(""GO:0009123"", ""GO:1901293"")"
"query_1","TRUE","0.000292564533504069","98","3794","53","0.0139694254085398","0.540816326530612","GO:0006606","GO:BP","protein import into nucleus","11884","2204","c(""GO:0006886"", ""GO:0034504"", ""GO:0051170"", ""GO:0072594"")"
"query_1","TRUE","0.000296308381074829","10031","3794","3284","0.865577227200843","0.32738510617087","GO:0008150","GO:BP","biological_process","11884","2984","character(0)"
"query_1","TRUE","0.000312846203791674","66","3794","39","0.0102793885081708","0.590909090909091","GO:0007088","GO:BP","regulation of mitotic nuclear division","11884","2539","c(""GO:0007346"", ""GO:0010564"", ""GO:0051783"", ""GO:0140014"")"
"query_1","TRUE","0.000312846203791674","275","3794","123","0.0324196099103848","0.447272727272727","GO:0051052","GO:BP","regulation of DNA metabolic process","11884","12591","c(""GO:0006259"", ""GO:0019219"", ""GO:0060255"")"
"query_1","TRUE","0.000324242364384535","331","3794","144","0.0379546652609383","0.435045317220544","GO:0051640","GO:BP","organelle localization","11884","12929","GO:0051179"
"query_1","TRUE","0.0003695648043158","51","3794","32","0.00843437005798629","0.627450980392157","GO:0044784","GO:BP","metaphase/anaphase transition of cell cycle","11884","10405","c(""GO:0033045"", ""GO:0044770"")"
"query_1","TRUE","0.000396969253555376","49","3794","31","0.00817079599367422","0.63265306122449","GO:1902099","GO:BP","regulation of metaphase/anaphase transition of cell cycle","11884","20526","c(""GO:0033045"", ""GO:0044784"", ""GO:1901987"")"
"query_1","TRUE","0.000396969253555376","49","3794","31","0.00817079599367422","0.63265306122449","GO:0019646","GO:BP","aerobic electron transport chain","11884","5570","c(""GO:0006119"", ""GO:0009060"", ""GO:0022904"")"
"query_1","TRUE","0.000411280894187926","23","3794","18","0.00474433315761729","0.782608695652174","GO:0006099","GO:BP","tricarboxylic acid cycle","11884","1858","c(""GO:0009060"", ""GO:0044238"")"
"query_1","TRUE","0.000421070924779238","47","3794","30","0.00790722192936215","0.638297872340426","GO:0045132","GO:BP","meiotic chromosome segregation","11884","10533","c(""GO:0098813"", ""GO:0140013"", ""GO:1903046"")"
"query_1","TRUE","0.000421070924779238","47","3794","30","0.00790722192936215","0.638297872340426","GO:0070585","GO:BP","protein localization to mitochondrion","11884","15073","GO:0033365"
"query_1","TRUE","0.000428197610011871","69","3794","40","0.0105429625724829","0.579710144927536","GO:0022904","GO:BP","respiratory electron transport chain","11884","6196","c(""GO:0022900"", ""GO:0045333"")"
"query_1","TRUE","0.000457669940324894","76","3794","43","0.0113336847654191","0.565789473684211","GO:0022900","GO:BP","electron transport chain","11884","6195","GO:0006091"
"query_1","TRUE","0.000457669940324894","97","3794","52","0.0137058513442277","0.536082474226804","GO:0007098","GO:BP","centrosome cycle","11884","2547","c(""GO:0022402"", ""GO:0031023"")"
"query_1","TRUE","0.000500647557236174","41","3794","27","0.00711649973642594","0.658536585365854","GO:0033047","GO:BP","regulation of mitotic sister chromatid segregation","11884","7486","c(""GO:0000070"", ""GO:0033045"")"
"query_1","TRUE","0.000503522891076181","56","3794","34","0.00896151818661044","0.607142857142857","GO:0032543","GO:BP","mitochondrial translation","11884","7139","c(""GO:0006412"", ""GO:0140053"")"
"query_1","TRUE","0.000535747738671414","215","3794","99","0.0260938323668951","0.46046511627907","GO:0141188","GO:BP","nucleic acid catabolic process","11884","18826","c(""GO:0009057"", ""GO:0034655"", ""GO:0090304"")"
"query_1","TRUE","0.000591025885146084","117","3794","60","0.0158144438587243","0.512820512820513","GO:0009165","GO:BP","nucleotide biosynthetic process","11884","3179","c(""GO:0009117"", ""GO:1901293"")"
"query_1","TRUE","0.000592691743975811","63","3794","37","0.00975224037954665","0.587301587301587","GO:2001251","GO:BP","negative regulation of chromosome organization","11884","24492","c(""GO:0010639"", ""GO:0033044"", ""GO:0051276"")"
"query_1","TRUE","0.000595305796882456","13","3794","12","0.00316288877174486","0.923076923076923","GO:0000212","GO:BP","meiotic spindle organization","11884","59","c(""GO:0007051"", ""GO:1903046"")"
