"","AGAL_control_differentiated_1","AGAL_control_undifferentiated_1","AGAL_control_differentiated_2","AGAL_control_undifferentiated_2","AGAL_control_differentiated_3","AGAL_control_undifferentiated_3","AGAL_knockout_differentiated_1","AGAL_knockout_undifferentiated_1","AGAL_knockout_differentiated_2","AGAL_knockout_undifferentiated_2","AGAL_knockout_differentiated_3","AGAL_knockout_undifferentiated_3"
"ENSBTAG00000008633",140.674676779712,100.463689346303,98.8526672946985,76.809159350263,121.065121761985,68.5702675940335,158.95046086392,92.7701003589782,115.102156019799,95.4868873267995,126.666225291411,80.8306788473431
"ENSBTAG00000008634",1488.17830219206,1121.8187140409,1377.53433923076,1028.97979259496,1328.83781020167,936.314205402276,1268.23710877377,1039.4883981329,1494.86469871486,884.934790352131,1248.09198475393,981.334539873412
"ENSBTAG00000008635",50.6848839748828,90.3002872497108,12.625989985723,18.0410828116346,6.12031402368589,49.2210149869096,17.1182331323151,20.8543571765254,8.41711608021296,35.4156481770827,10.0528556015996,23.6901939350856
"ENSBTAG00000008636",6.29476191961799,214.972743525418,34.8426974664055,177.296917253455,3.66174660500342,250.830834547054,14.5824080811828,163.959111326807,22.4835894327916,271.827577920312,6.38193269338305,187.78369760908
"ENSBTAG00000008638",102.0770268191,36.6429173422982,62.6119303748542,25.469166454751,51.4632480605983,83.188501556092,69.2377812575083,81.1898016126285,58.0188185675964,100.021134463607,27.9162037767582,73.3234951741714
"ENSBTAG00000008642",840.057207457446,731.858915290181,924.963635535892,860.700586236868,829.072878332592,877.649439674632,814.153719904435,894.320933976422,762.278531322973,744.251051513486,862.235621428031,790.893038887296
"ENSBTAG00000008645",443.606313543873,449.33515565098,384.7376150988,326.708930101151,432.281696573982,358.878597144767,413.574544417244,565.994746344282,419.582619132139,379.755308723803,380.326502811853,304.743069248413
"ENSBTAG00000008646",223.941231638221,431.195368837426,214.838334553458,377.714296957872,254.681726763884,440.531322919084,258.311553525224,427.395986613825,272.986230977789,423.68557490192,309.543603521508,494.713391416822
"ENSBTAG00000008647",1.26003368987221,18.7245637617227,22.362998203788,63.8997291267363,35.4102879750283,136.409821662214,1.21620020716689,1.6798563789552,16.8589604906709,56.9618359866655,9.11996874632675,40.0036691876765
"ENSBTAG00000008648",1193.02239913841,1274.50339913027,1080.25475404419,1341.33713028693,1150.17853137353,1348.38064758235,1130.31524614616,1105.59492608606,1119.94912589865,1123.22538079669,921.745029473495,1422.18276085117
